v8-version,6,2,414,78,0
code-creation,Stub,3,3246,0x93223596ac0,884,"RecordWriteStub"
code-creation,Stub,3,3247,0x93223596ea0,2109,"RecordWriteStub"
code-creation,Stub,3,3248,0x93223597740,882,"RecordWriteStub"
code-creation,Stub,3,3249,0x93223597b20,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,3250,0x93223597c60,235,"NumberToStringStub"
code-creation,Stub,3,3251,0x93223597dc0,2125,"RecordWriteStub"
code-creation,Stub,3,3252,0x93223598680,2142,"RecordWriteStub"
code-creation,Stub,3,3253,0x93223598f40,884,"RecordWriteStub"
code-creation,Stub,3,3253,0x93223599320,2104,"RecordWriteStub"
code-creation,Stub,3,3254,0x93223599bc0,2088,"RecordWriteStub"
code-creation,Stub,3,3255,0x9322359a460,251,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,3256,0x9322359a5c0,2087,"RecordWriteStub"
code-creation,Stub,3,3257,0x9322359ae60,87,"DoubleToIStub"
code-creation,Stub,3,3258,0x9322359af20,2076,"RecordWriteStub"
code-creation,Stub,3,3259,0x9322359b7a0,2142,"RecordWriteStub"
code-creation,Stub,3,3260,0x9322359c060,199,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,3261,0x9322359c1a0,110,"InternalArrayConstructorStub"
code-creation,Stub,3,3262,0x9322359c280,199,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,3263,0x9322359c3c0,319,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,3264,0x9322359c560,27,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,3265,0x9322359c5e0,2084,"RecordWriteStub"
code-creation,Stub,3,3266,0x9322359ce80,2126,"RecordWriteStub"
code-creation,Stub,3,3267,0x9322359d740,2076,"RecordWriteStub"
code-creation,Stub,3,3268,0x9322359dfc0,2088,"RecordWriteStub"
code-creation,Stub,3,3269,0x9322359e860,2099,"RecordWriteStub"
code-creation,Stub,3,3270,0x9322359f100,2084,"RecordWriteStub"
code-creation,Stub,3,3271,0x9322359f9a0,2151,"RecordWriteStub"
code-creation,Stub,3,3272,0x932235a0280,2087,"RecordWriteStub"
code-creation,Stub,3,3272,0x932235a0b20,2072,"RecordWriteStub"
code-creation,Stub,3,3273,0x932235a13a0,363,"ArraySingleArgumentConstructorStub"
code-creation,Handler,4,3274,0x932235a1580,612,"An IC handler from the snapshot"
code-creation,Stub,3,3275,0x932235a1860,2126,"RecordWriteStub"
code-creation,Handler,4,3276,0x932235a2120,180,"An IC handler from the snapshot"
code-creation,Stub,3,3277,0x932235a2240,2088,"RecordWriteStub"
code-creation,Handler,4,3278,0x932235a2ae0,164,"An IC handler from the snapshot"
code-creation,Stub,3,3279,0x932235a2c00,3146,"SubStringStub"
code-creation,Stub,3,3280,0x932235a38c0,269,"CEntryStub"
code-creation,Stub,3,3281,0x932235a3a40,2106,"RecordWriteStub"
code-creation,Stub,3,3282,0x932235a42e0,2103,"RecordWriteStub"
code-creation,Stub,3,3291,0x932235a4b80,2110,"RecordWriteStub"
code-creation,Stub,3,3292,0x932235a5420,882,"RecordWriteStub"
code-creation,Stub,3,3293,0x932235a5800,2084,"RecordWriteStub"
code-creation,Stub,3,3294,0x932235a60a0,2072,"RecordWriteStub"
code-creation,Stub,3,3295,0x932235a6920,2106,"RecordWriteStub"
code-creation,Stub,3,3296,0x932235a71c0,2126,"RecordWriteStub"
code-creation,Stub,3,3296,0x932235a7a80,2113,"RecordWriteStub"
code-creation,Stub,3,3297,0x932235a8340,463,"StringAddStub"
code-creation,Builtin,5,3298,0x932235a8580,190,"NonPrimitiveToPrimitive_Default"
code-creation,Builtin,5,3299,0x932235a86a0,123,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,3300,0x932235a8780,260,"OrdinaryToPrimitive_Number"
code-creation,Stub,3,3302,0x932235a8900,2117,"RecordWriteStub"
code-creation,Stub,3,3302,0x932235a91c0,2142,"RecordWriteStub"
code-creation,Stub,3,3303,0x932235a9a80,2100,"RecordWriteStub"
code-creation,Stub,3,3304,0x932235aa320,2117,"RecordWriteStub"
code-creation,Stub,3,3305,0x932235aabe0,251,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,3306,0x932235aad40,2130,"RecordWriteStub"
code-creation,Stub,3,3307,0x932235ab600,375,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,3308,0x932235ab7e0,2076,"RecordWriteStub"
code-creation,Stub,3,3309,0x932235ac060,2142,"RecordWriteStub"
code-creation,Stub,3,3310,0x932235ac920,491,"StringAddStub"
code-creation,Stub,3,3311,0x932235acb80,2088,"RecordWriteStub"
code-creation,Stub,3,3312,0x932235ad420,2125,"RecordWriteStub"
code-creation,Stub,3,3313,0x932235adce0,2084,"RecordWriteStub"
code-creation,Stub,3,3314,0x932235ae580,215,"ArrayNoArgumentConstructorStub"
code-creation,Handler,4,3315,0x932235ae6c0,636,"An IC handler from the snapshot"
code-creation,Stub,3,3316,0x932235ae9a0,2126,"RecordWriteStub"
code-creation,Stub,3,3317,0x932235af260,2109,"RecordWriteStub"
code-creation,Stub,3,3318,0x932235afb00,2072,"RecordWriteStub"
code-creation,Stub,3,3319,0x932235b0380,2130,"RecordWriteStub"
code-creation,Stub,3,3319,0x932235b0c40,2125,"RecordWriteStub"
code-creation,Handler,4,3320,0x932235b1500,552,"An IC handler from the snapshot"
code-creation,Stub,3,3321,0x932235b17a0,2088,"RecordWriteStub"
code-creation,Stub,3,3322,0x932235b2040,2129,"RecordWriteStub"
code-creation,Stub,3,3323,0x932235b2900,1225,"RecordWriteStub"
code-creation,Stub,3,3324,0x932235b2e40,269,"CEntryStub"
code-creation,Stub,3,3325,0x932235b2fc0,2100,"RecordWriteStub"
code-creation,Stub,3,3326,0x932235b3860,215,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,3327,0x932235b39a0,367,"ArraySingleArgumentConstructorStub"
code-creation,Handler,4,3328,0x932235b3b80,636,"An IC handler from the snapshot"
code-creation,Stub,3,3329,0x932235b3e60,2091,"RecordWriteStub"
code-creation,Stub,3,3330,0x932235b4700,2130,"RecordWriteStub"
code-creation,Handler,4,3331,0x932235b4fc0,132,"An IC handler from the snapshot"
code-creation,Stub,3,3332,0x932235b50c0,2076,"RecordWriteStub"
code-creation,Stub,3,3333,0x932235b5940,884,"RecordWriteStub"
code-creation,Stub,3,3334,0x932235b5d20,331,"CallApiGetterStub"
code-creation,Stub,3,3335,0x932235b5ee0,261,"MathPowStub"
code-creation,Stub,3,3335,0x932235b6060,319,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,3336,0x932235b6200,2091,"RecordWriteStub"
code-creation,Stub,3,3337,0x932235b6aa0,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,3338,0x932235b6be0,2134,"RecordWriteStub"
code-creation,Stub,3,3339,0x932235b74a0,2126,"RecordWriteStub"
code-creation,Stub,3,3340,0x932235b7d60,1207,"RecordWriteStub"
code-creation,Stub,3,3341,0x932235b8280,2079,"RecordWriteStub"
code-creation,Stub,3,3342,0x932235b8b00,411,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,3343,0x932235b8d00,2099,"RecordWriteStub"
code-creation,Stub,3,3344,0x932235b95a0,2160,"RecordWriteStub"
code-creation,Stub,3,3345,0x932235b9e80,2088,"RecordWriteStub"
code-creation,Stub,3,3346,0x932235ba720,89,"DoubleToIStub"
code-creation,Stub,3,3347,0x932235ba7e0,2118,"RecordWriteStub"
code-creation,Stub,3,3348,0x932235bb0a0,2104,"RecordWriteStub"
code-creation,Handler,4,3349,0x932235bb940,132,"An IC handler from the snapshot"
code-creation,Stub,3,3355,0x932235bba40,87,"DoubleToIStub"
code-creation,Stub,3,3356,0x932235bbb00,327,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,3357,0x932235bbcc0,2100,"RecordWriteStub"
code-creation,Handler,4,3358,0x932235bc560,612,"An IC handler from the snapshot"
code-creation,Stub,3,3359,0x932235bc840,319,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,3360,0x932235bc9e0,2118,"RecordWriteStub"
code-creation,Stub,3,3361,0x932235bd2a0,2091,"RecordWriteStub"
code-creation,Stub,3,3362,0x932235bdb40,2087,"RecordWriteStub"
code-creation,Stub,3,3363,0x932235be3e0,2145,"RecordWriteStub"
code-creation,Stub,3,3364,0x932235becc0,563,"TransitionElementsKindStub"
code-creation,Stub,3,3365,0x932235bef60,884,"RecordWriteStub"
code-creation,Stub,3,3366,0x932235bf340,2088,"RecordWriteStub"
code-creation,Stub,3,3367,0x932235bfbe0,2087,"RecordWriteStub"
code-creation,Stub,3,3368,0x932235c0480,2088,"RecordWriteStub"
code-creation,Stub,3,3369,0x932235c0d20,308,"CEntryStub"
code-creation,Stub,3,3370,0x932235c0ec0,2130,"RecordWriteStub"
code-creation,Stub,3,3370,0x932235c1780,2130,"RecordWriteStub"
code-creation,Stub,3,3371,0x932235c2040,2148,"RecordWriteStub"
code-creation,Stub,3,3372,0x932235c2920,2118,"RecordWriteStub"
code-creation,Stub,3,3373,0x932235c31e0,2075,"RecordWriteStub"
code-creation,Stub,3,3374,0x932235c3a60,1246,"RecordWriteStub"
code-creation,Handler,4,3375,0x932235c3fa0,600,"An IC handler from the snapshot"
code-creation,Stub,3,3376,0x932235c4260,2126,"RecordWriteStub"
code-creation,Stub,3,3377,0x932235c4b20,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,3378,0x932235c4c60,2063,"RecordWriteStub"
code-creation,Stub,3,3379,0x932235c54e0,2100,"RecordWriteStub"
code-creation,Stub,3,3380,0x932235c5d80,2103,"RecordWriteStub"
code-creation,Handler,4,3381,0x932235c6620,552,"An IC handler from the snapshot"
code-creation,Stub,3,3382,0x932235c68c0,896,"RecordWriteStub"
code-creation,Stub,3,3383,0x932235c6ca0,2100,"RecordWriteStub"
code-creation,Stub,3,3384,0x932235c7540,2104,"RecordWriteStub"
code-creation,Stub,3,3384,0x932235c7de0,1246,"RecordWriteStub"
code-creation,Stub,3,3385,0x932235c8320,2100,"RecordWriteStub"
code-creation,Stub,3,3386,0x932235c8bc0,2072,"RecordWriteStub"
code-creation,Stub,3,3387,0x932235c9440,2099,"RecordWriteStub"
code-creation,Stub,3,3388,0x932235c9ce0,2134,"RecordWriteStub"
code-creation,Stub,3,3389,0x932235ca5a0,2104,"RecordWriteStub"
code-creation,Stub,3,3390,0x932235cae40,2100,"RecordWriteStub"
code-creation,Stub,3,3391,0x932235cb6e0,337,"ArrayConstructorStub"
code-creation,Builtin,5,3392,0x932235cb8a0,25,"Abort"
code-creation,Stub,3,3393,0x932235cb920,2114,"RecordWriteStub"
code-creation,Builtin,5,3394,0x932235cc1e0,15,"StrictPoisonPillThrower"
code-creation,Builtin,5,3395,0x932235cc260,28,"ReturnReceiver"
code-creation,Builtin,5,3396,0x932235cc2e0,446,"GeneratorPrototypeNext"
code-creation,Builtin,5,3397,0x932235cc500,249,"ResumeGeneratorTrampoline"
code-creation,Builtin,5,3398,0x932235cc660,223,"CreateIterResultObject"
code-creation,Builtin,5,3399,0x932235cc7a0,450,"GeneratorPrototypeReturn"
code-creation,Builtin,5,3400,0x932235cc9e0,462,"GeneratorPrototypeThrow"
code-creation,Builtin,5,3401,0x932235ccc20,1544,"AsyncFromSyncIteratorPrototypeNext"
code-creation,Builtin,5,3402,0x932235cd2a0,76,"ToBoolean"
code-creation,Builtin,5,3403,0x932235cd360,3876,"ResolveNativePromise"
