v8-version,6,2,414,78,0
code-creation,Stub,3,4506,0x20a55c214460,2097,"RecordWriteStub"
code-creation,Stub,3,4506,0x20a55c214d00,2088,"RecordWriteStub"
code-creation,Stub,3,4507,0x20a55c2155a0,2103,"RecordWriteStub"
code-creation,Stub,3,4508,0x20a55c215e40,2088,"RecordWriteStub"
code-creation,Stub,3,4509,0x20a55c2166e0,884,"RecordWriteStub"
code-creation,Stub,3,4509,0x20a55c216ac0,884,"RecordWriteStub"
code-creation,Stub,3,4510,0x20a55c216ea0,2109,"RecordWriteStub"
code-creation,Stub,3,4511,0x20a55c217740,882,"RecordWriteStub"
code-creation,Stub,3,4511,0x20a55c217b20,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4512,0x20a55c217c60,235,"NumberToStringStub"
code-creation,Stub,3,4513,0x20a55c217dc0,2125,"RecordWriteStub"
code-creation,Stub,3,4514,0x20a55c218680,2142,"RecordWriteStub"
code-creation,Stub,3,4514,0x20a55c218f40,884,"RecordWriteStub"
code-creation,Stub,3,4515,0x20a55c219320,2104,"RecordWriteStub"
code-creation,Stub,3,4516,0x20a55c219bc0,2088,"RecordWriteStub"
code-creation,Stub,3,4516,0x20a55c21a460,251,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4517,0x20a55c21a5c0,2087,"RecordWriteStub"
code-creation,Stub,3,4518,0x20a55c21ae60,87,"DoubleToIStub"
code-creation,Stub,3,4519,0x20a55c21af20,2076,"RecordWriteStub"
code-creation,Stub,3,4519,0x20a55c21b7a0,2142,"RecordWriteStub"
code-creation,Stub,3,4520,0x20a55c21c060,199,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,4521,0x20a55c21c1a0,110,"InternalArrayConstructorStub"
code-creation,Stub,3,4521,0x20a55c21c280,199,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,4522,0x20a55c21c3c0,319,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,4523,0x20a55c21c560,27,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,4524,0x20a55c21c5e0,2084,"RecordWriteStub"
code-creation,Stub,3,4524,0x20a55c21ce80,2126,"RecordWriteStub"
code-creation,Stub,3,4525,0x20a55c21d740,2076,"RecordWriteStub"
code-creation,Stub,3,4526,0x20a55c21dfc0,2088,"RecordWriteStub"
code-creation,Stub,3,4527,0x20a55c21e860,2099,"RecordWriteStub"
code-creation,Stub,3,4527,0x20a55c21f100,2084,"RecordWriteStub"
code-creation,Stub,3,4528,0x20a55c21f9a0,2151,"RecordWriteStub"
code-creation,Stub,3,4529,0x20a55c220280,2087,"RecordWriteStub"
code-creation,Stub,3,4529,0x20a55c220b20,2072,"RecordWriteStub"
code-creation,Stub,3,4530,0x20a55c2213a0,363,"ArraySingleArgumentConstructorStub"
code-creation,Handler,4,4531,0x20a55c221580,612,"An IC handler from the snapshot"
code-creation,Stub,3,4531,0x20a55c221860,2126,"RecordWriteStub"
code-creation,Handler,4,4532,0x20a55c222120,180,"An IC handler from the snapshot"
code-creation,Stub,3,4533,0x20a55c222240,2088,"RecordWriteStub"
code-creation,Handler,4,4534,0x20a55c222ae0,164,"An IC handler from the snapshot"
code-creation,Stub,3,4534,0x20a55c222c00,3146,"SubStringStub"
code-creation,Stub,3,4535,0x20a55c2238c0,269,"CEntryStub"
code-creation,Stub,3,4542,0x20a55c223a40,2106,"RecordWriteStub"
code-creation,Stub,3,4543,0x20a55c2242e0,2103,"RecordWriteStub"
code-creation,Stub,3,4543,0x20a55c224b80,2110,"RecordWriteStub"
code-creation,Stub,3,4544,0x20a55c225420,882,"RecordWriteStub"
code-creation,Stub,3,4545,0x20a55c225800,2084,"RecordWriteStub"
code-creation,Stub,3,4545,0x20a55c2260a0,2072,"RecordWriteStub"
code-creation,Stub,3,4546,0x20a55c226920,2106,"RecordWriteStub"
code-creation,Stub,3,4547,0x20a55c2271c0,2126,"RecordWriteStub"
code-creation,Stub,3,4548,0x20a55c227a80,2113,"RecordWriteStub"
code-creation,Stub,3,4548,0x20a55c228340,463,"StringAddStub"
code-creation,Builtin,5,4549,0x20a55c228580,190,"NonPrimitiveToPrimitive_Default"
code-creation,Builtin,5,4550,0x20a55c2286a0,123,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,4551,0x20a55c228780,260,"OrdinaryToPrimitive_Number"
code-creation,Stub,3,4551,0x20a55c228900,2117,"RecordWriteStub"
code-creation,Stub,3,4552,0x20a55c2291c0,2142,"RecordWriteStub"
code-creation,Stub,3,4553,0x20a55c229a80,2100,"RecordWriteStub"
code-creation,Stub,3,4554,0x20a55c22a320,2117,"RecordWriteStub"
code-creation,Stub,3,4554,0x20a55c22abe0,251,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4555,0x20a55c22ad40,2130,"RecordWriteStub"
code-creation,Stub,3,4556,0x20a55c22b600,375,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4557,0x20a55c22b7e0,2076,"RecordWriteStub"
code-creation,Stub,3,4557,0x20a55c22c060,2142,"RecordWriteStub"
code-creation,Stub,3,4558,0x20a55c22c920,491,"StringAddStub"
code-creation,Stub,3,4559,0x20a55c22cb80,2088,"RecordWriteStub"
code-creation,Stub,3,4559,0x20a55c22d420,2125,"RecordWriteStub"
code-creation,Stub,3,4560,0x20a55c22dce0,2084,"RecordWriteStub"
code-creation,Stub,3,4561,0x20a55c22e580,215,"ArrayNoArgumentConstructorStub"
code-creation,Handler,4,4562,0x20a55c22e6c0,636,"An IC handler from the snapshot"
code-creation,Stub,3,4562,0x20a55c22e9a0,2126,"RecordWriteStub"
code-creation,Stub,3,4563,0x20a55c22f260,2109,"RecordWriteStub"
code-creation,Stub,3,4564,0x20a55c22fb00,2072,"RecordWriteStub"
code-creation,Stub,3,4564,0x20a55c230380,2130,"RecordWriteStub"
code-creation,Stub,3,4565,0x20a55c230c40,2125,"RecordWriteStub"
code-creation,Handler,4,4566,0x20a55c231500,552,"An IC handler from the snapshot"
code-creation,Stub,3,4567,0x20a55c2317a0,2088,"RecordWriteStub"
code-creation,Stub,3,4567,0x20a55c232040,2129,"RecordWriteStub"
code-creation,Stub,3,4568,0x20a55c232900,1225,"RecordWriteStub"
code-creation,Stub,3,4569,0x20a55c232e40,269,"CEntryStub"
code-creation,Stub,3,4569,0x20a55c232fc0,2100,"RecordWriteStub"
code-creation,Stub,3,4570,0x20a55c233860,215,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4571,0x20a55c2339a0,367,"ArraySingleArgumentConstructorStub"
code-creation,Handler,4,4572,0x20a55c233b80,636,"An IC handler from the snapshot"
code-creation,Stub,3,4572,0x20a55c233e60,2091,"RecordWriteStub"
code-creation,Stub,3,4573,0x20a55c234700,2130,"RecordWriteStub"
code-creation,Handler,4,4574,0x20a55c234fc0,132,"An IC handler from the snapshot"
code-creation,Stub,3,4575,0x20a55c2350c0,2076,"RecordWriteStub"
code-creation,Stub,3,4575,0x20a55c235940,884,"RecordWriteStub"
code-creation,Stub,3,4576,0x20a55c235d20,331,"CallApiGetterStub"
code-creation,Stub,3,4577,0x20a55c235ee0,261,"MathPowStub"
code-creation,Stub,3,4577,0x20a55c236060,319,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4578,0x20a55c236200,2091,"RecordWriteStub"
code-creation,Stub,3,4579,0x20a55c236aa0,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4580,0x20a55c236be0,2134,"RecordWriteStub"
code-creation,Stub,3,4580,0x20a55c2374a0,2126,"RecordWriteStub"
code-creation,Stub,3,4581,0x20a55c237d60,1207,"RecordWriteStub"
code-creation,Stub,3,4582,0x20a55c238280,2079,"RecordWriteStub"
code-creation,Stub,3,4582,0x20a55c238b00,411,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4583,0x20a55c238d00,2099,"RecordWriteStub"
