v8-version,6,8,275,32,-node.58,0
code-creation,Builtin,3,1967,0x1c7fadf11d00,87,InterpreterPushArgsThenConstructWithFinalSpread
code-creation,Builtin,3,1972,0x1c7fadf11da0,200,InterpreterEnterBytecodeAdvance
code-creation,Builtin,3,1977,0x1c7fadf11ec0,82,InterpreterEnterBytecodeDispatch
code-creation,Builtin,3,1981,0x1c7fadf11f60,75,InterpreterOnStackReplacement
code-creation,Builtin,3,1987,0x1c7fadf12000,832,CompileLazy
code-creation,Builtin,3,1992,0x1c7fadf12380,919,CompileLazyDeoptimizedCode
code-creation,Builtin,3,1996,0x1c7fadf09d60,201,DeserializeLazy
code-creation,Builtin,3,2001,0x1c7fadf12760,163,InstantiateAsmJs
code-creation,Builtin,3,2005,0x1c7fadf12860,47,NotifyDeoptimized
code-creation,Builtin,3,2009,0x1c7fadf128e0,37,ContinueToCodeStubBuiltin
code-creation,Builtin,3,2013,0x1c7fadf12960,45,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,2018,0x1c7fadf129e0,41,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,2022,0x1c7fadf12a60,49,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,2027,0x1c7fadf12ae0,70,OnStackReplacement
code-creation,Builtin,3,2032,0x1c7fadf12b80,15,HandleApiCall
code-creation,Builtin,3,2036,0x1c7fadf12be0,15,HandleApiCallAsFunction
code-creation,Builtin,3,2040,0x1c7fadf12c40,15,HandleApiCallAsConstructor
code-creation,Builtin,3,2044,0x1c7fadf12ca0,29,AllocateInNewSpace
code-creation,Builtin,3,2049,0x1c7fadf12d00,36,AllocateInOldSpace
code-creation,Builtin,3,2053,0x1c7fadf12d80,835,CopyFastSmiOrObjectElements
code-creation,Builtin,3,2058,0x1c7fadf13120,544,GrowFastDoubleElements
code-creation,Builtin,3,2062,0x1c7fadf13380,500,GrowFastSmiOrObjectElements
code-creation,Builtin,3,2067,0x1c7fadf135c0,363,NewArgumentsElements
code-creation,Builtin,3,2072,0x1c7fadf13780,464,DebugBreakTrampoline
code-creation,Builtin,3,2076,0x1c7fadf139a0,130,FrameDropperTrampoline
code-creation,Builtin,3,2081,0x1c7fadf13a80,63,HandleDebuggerStatement
code-creation,Builtin,3,2085,0x1c7fadf13b00,402,ToObject
code-creation,Builtin,3,2089,0x1c7fadf13ce0,151,ToBoolean
code-creation,Builtin,3,2097,0x1c7fadf13dc0,283,OrdinaryToPrimitive_Number
code-creation,Builtin,3,2101,0x1c7fadf13f20,283,OrdinaryToPrimitive_String
code-creation,Builtin,3,2106,0x1c7fadf14080,229,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,2111,0x1c7fadf141c0,229,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,2116,0x1c7fadf14300,229,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,2120,0x1c7fadf14440,95,StringToNumber
code-creation,Builtin,3,2124,0x1c7fadf144e0,103,ToName
code-creation,Builtin,3,2128,0x1c7fadf145a0,317,NonNumberToNumber
code-creation,Builtin,3,2133,0x1c7fadf14720,325,NonNumberToNumeric
code-creation,Builtin,3,2137,0x1c7fadf148c0,269,ToNumber
code-creation,Builtin,3,2141,0x1c7fadf14a20,357,ToNumeric
code-creation,Builtin,3,2145,0x1c7fadf14be0,219,NumberToString
code-creation,Builtin,3,2149,0x1c7fadf14d00,303,ToString
code-creation,Builtin,3,2153,0x1c7fadf14e80,482,ToInteger
code-creation,Builtin,3,2157,0x1c7fadf150c0,498,ToInteger_TruncateMinusZero
code-creation,Builtin,3,2162,0x1c7fadf15300,538,ToLength
code-creation,Builtin,3,2169,0x1c7fadf15560,156,Typeof
code-creation,Builtin,3,2174,0x1c7fadf15640,75,GetSuperConstructor
code-creation,Builtin,3,2178,0x1c7fadf156e0,163,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,2187,0x1c7fadf157e0,9980,KeyedLoadIC_Megamorphic
code-creation,Builtin,3,2204,0x1c7fadf17f20,2559,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,2212,0x1c7fadf18960,40,KeyedLoadIC_Slow
tick,0x7fdfc8ba84f6,2219,0,0x0,6
code-creation,Builtin,3,2908,0x1c7fadf189e0,15756,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,2925,0x1c7fadf1c7c0,44,KeyedStoreIC_Slow
code-creation,Builtin,3,2930,0x1c7fadf1c840,40,LoadGlobalIC_Slow
code-creation,Builtin,3,2935,0x1c7fadf1c8c0,92,LoadIC_FunctionPrototype
code-creation,Builtin,3,2940,0x1c7fadf1c960,40,LoadIC_Slow
code-creation,Builtin,3,2944,0x1c7fadf1c9e0,16,LoadIC_StringLength
code-creation,Builtin,3,2948,0x1c7fadf1ca40,20,LoadIC_StringWrapperLength
code-creation,Builtin,3,2954,0x1c7fadf1caa0,3040,LoadIC_Uninitialized
code-creation,Builtin,3,2958,0x1c7fadf1d6c0,44,StoreGlobalIC_Slow
code-creation,Builtin,3,2967,0x1c7fadf1d740,6672,StoreIC_Uninitialized
code-creation,Builtin,3,2972,0x1c7fadf1f1a0,40,StoreInArrayLiteralIC_Slow
code-creation,Builtin,3,2978,0x1c7fadf1f220,1076,EnqueueMicrotask
code-creation,Builtin,3,2983,0x1c7fadf1f6a0,1432,RunMicrotasks
code-creation,Builtin,3,2988,0x1c7fadf1fc80,2388,HasProperty
code-creation,Builtin,3,2993,0x1c7fadf20620,1036,DeleteProperty
code-creation,Builtin,3,2997,0x1c7fadf20a80,25,Abort
code-creation,Builtin,3,3001,0x1c7fadf20ae0,40,AbortJS
code-creation,Builtin,3,3005,0x1c7fadf20b60,15,EmptyFunction
code-creation,Builtin,3,3010,0x1c7fadf20bc0,15,Illegal
code-creation,Builtin,3,3014,0x1c7fadf20c20,15,StrictPoisonPillThrower
code-creation,Builtin,3,3018,0x1c7fadf20c80,15,UnsupportedThrower
code-creation,Builtin,3,3022,0x1c7fadf20ce0,21,ArrayConstructor
code-creation,Builtin,3,3027,0x1c7fadf20d40,9,InternalArrayConstructor
