v8-version,8,4,371,19,-node.12,0
code-creation,Builtin,3,4297,0x1366940,60,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,4304,0x1366980,56,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,4310,0x13669c0,64,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,4317,0x1366a20,287,CallApiCallback
code-creation,Builtin,3,4323,0x1366b40,269,CallApiGetter
code-creation,Builtin,3,4330,0x1366c60,12,HandleApiCall
code-creation,Builtin,3,4336,0x1366c80,12,HandleApiCallAsFunction
code-creation,Builtin,3,4342,0x1366ca0,12,HandleApiCallAsConstructor
code-creation,Builtin,3,4349,0x1366cc0,72,AllocateInYoungGeneration
code-creation,Builtin,3,4358,0x1366d20,60,AllocateRegularInYoungGeneration
code-creation,Builtin,3,4363,0x1366d60,72,AllocateInOldGeneration
code-creation,Builtin,3,4370,0x1366dc0,60,AllocateRegularInOldGeneration
code-creation,Builtin,3,4377,0x1366e00,484,CopyFastSmiOrObjectElements
code-creation,Builtin,3,4385,0x1367000,563,GrowFastDoubleElements
code-creation,Builtin,3,4391,0x1367240,442,GrowFastSmiOrObjectElements
code-creation,Builtin,3,4398,0x1367400,353,NewArgumentsElements
code-creation,Builtin,3,4404,0x1367580,500,DebugBreakTrampoline
code-creation,Builtin,3,4411,0x1367780,141,FrameDropperTrampoline
code-creation,Builtin,3,4419,0x1367820,45,HandleDebuggerStatement
code-creation,Builtin,3,4423,0x1367860,254,ToObject
code-creation,Builtin,3,4428,0x1367960,100,ToBoolean
code-creation,Builtin,3,4434,0x13679e0,269,OrdinaryToPrimitive_Number
code-creation,Builtin,3,4440,0x1367b00,269,OrdinaryToPrimitive_String
code-creation,Builtin,3,4450,0x1367c20,219,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,4455,0x1367d00,219,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,4459,0x1367de0,219,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,4464,0x1367ec0,85,StringToNumber
code-creation,Builtin,3,4468,0x1367f20,129,ToName
code-creation,Builtin,3,4472,0x1367fc0,235,NonNumberToNumber
code-creation,Builtin,3,4476,0x13680c0,255,NonNumberToNumeric
code-creation,Builtin,3,4480,0x13681c0,239,ToNumber
code-creation,Builtin,3,4484,0x13682c0,272,ToNumberConvertBigInt
code-creation,Builtin,3,4488,0x13683e0,275,ToNumeric
code-creation,Builtin,3,4492,0x1368500,261,NumberToString
code-creation,Builtin,3,4496,0x1368620,382,ToLength
code-creation,Builtin,3,4507,0x13687a0,140,Typeof
code-creation,Builtin,3,4511,0x1368840,69,GetSuperConstructor
code-creation,Builtin,3,4515,0x13688a0,125,BigIntToI64
code-creation,Builtin,3,4519,0x1368920,12,BigIntToI32Pair
code-creation,Builtin,3,4530,0x1368940,309,I64ToBigInt
code-creation,Builtin,3,4538,0x1368a80,12,I32PairToBigInt
code-creation,Builtin,3,4542,0x1368aa0,108,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,4550,0x1368b20,3433,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,4555,0x13698a0,15988,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,4560,0x136d720,245,LoadGlobalIC_NoFeedback
code-creation,Builtin,3,4564,0x136d820,68,LoadIC_FunctionPrototype
code-creation,Builtin,3,4568,0x136d880,20,LoadIC_StringLength
code-creation,Builtin,3,4573,0x136d8a0,24,LoadIC_StringWrapperLength
code-creation,Builtin,3,4577,0x136d8c0,3064,LoadIC_NoFeedback
code-creation,Builtin,3,4581,0x136e4c0,40,StoreGlobalIC_Slow
code-creation,Builtin,3,4585,0x136e500,6952,StoreIC_NoFeedback
code-creation,Builtin,3,4590,0x1370040,188,KeyedLoadIC_SloppyArguments
code-creation,Builtin,3,4594,0x1370100,80,LoadIndexedInterceptorIC
code-creation,Builtin,3,4598,0x1370160,340,KeyedStoreIC_SloppyArguments_Standard
code-creation,Builtin,3,4603,0x13702c0,340,KeyedStoreIC_SloppyArguments_GrowNoTransitionHandleCOW
code-creation,Builtin,3,4608,0x1370420,340,KeyedStoreIC_SloppyArguments_NoTransitionIgnoreOOB
code-creation,Builtin,3,4613,0x1370580,340,KeyedStoreIC_SloppyArguments_NoTransitionHandleCOW
code-creation,Builtin,3,4619,0x13706e0,6836,StoreFastElementIC_Standard
code-creation,Builtin,3,4623,0x13721a0,10700,StoreFastElementIC_GrowNoTransitionHandleCOW
code-creation,Builtin,3,4628,0x1374b80,6832,StoreFastElementIC_NoTransitionIgnoreOOB
code-creation,Builtin,3,4633,0x1376640,6500,StoreFastElementIC_NoTransitionHandleCOW
code-creation,Builtin,3,4638,0x1377fc0,9396,ElementsTransitionAndStore_Standard
code-creation,Builtin,3,4642,0x137a480,21824,ElementsTransitionAndStore_GrowNoTransitionHandleCOW
code-creation,Builtin,3,4648,0x137f9e0,9396,ElementsTransitionAndStore_NoTransitionIgnoreOOB
code-creation,Builtin,3,4653,0x1381ea0,12372,ElementsTransitionAndStore_NoTransitionHandleCOW
code-creation,Builtin,3,4658,0x1384f00,760,KeyedHasIC_PolymorphicName
code-creation,Builtin,3,4662,0x1385200,176,KeyedHasIC_SloppyArguments
code-creation,Builtin,3,4667,0x13852c0,80,HasIndexedInterceptorIC
code-creation,Builtin,3,4671,0x1385320,156,EnqueueMicrotask
code-creation,Builtin,3,4675,0x13853c0,8,RunMicrotasksTrampoline
code-creation,Builtin,3,4679,0x13853e0,2472,RunMicrotasks
code-creation,Builtin,3,4684,0x1385da0,2338,HasProperty
code-creation,Builtin,3,4688,0x13866e0,1108,DeleteProperty
code-creation,Builtin,3,4692,0x1386b40,1847,CopyDataProperties
code-creation,Builtin,3,4696,0x1387280,8794,SetDataProperties
code-creation,Builtin,3,4700,0x13894e0,36,Abort
code-creation,Builtin,3,4704,0x1389520,36,AbortCSAAssert
code-creation,Builtin,3,4708,0x1389560,12,EmptyFunction
code-creation,Builtin,3,4712,0x1389580,12,Illegal
code-creation,Builtin,3,4716,0x13895a0,12,StrictPoisonPillThrower
code-creation,Builtin,3,4720,0x13895c0,12,UnsupportedThrower
code-creation,Builtin,3,4724,0x13895e0,65,ReturnReceiver
code-creation,Builtin,3,4728,0x1389640,36,ArrayConstructor
code-creation,Builtin,3,4732,0x1389680,413,ArrayConstructorImpl
code-creation,Builtin,3,4736,0x1389820,221,ArrayNoArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,4741,0x1389900,221,ArrayNoArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,4746,0x13899e0,181,ArrayNoArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,4752,0x1389aa0,181,ArrayNoArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,4757,0x1389b60,181,ArrayNoArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,4763,0x1389c20,181,ArrayNoArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,4768,0x1389ce0,193,ArrayNoArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,4773,0x1389dc0,193,ArrayNoArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,4779,0x1389ea0,521,ArraySingleArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,4784,0x138a0c0,485,ArraySingleArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,4789,0x138a2c0,445,ArraySingleArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,4798,0x138a480,405,ArraySingleArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,4804,0x138a620,445,ArraySingleArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,4810,0x138a7e0,405,ArraySingleArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,4815,0x138a980,453,ArraySingleArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,4821,0x138ab60,417,ArraySingleArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,4827,0x138ad20,68,ArrayNArgumentsConstructor
code-creation,Builtin,3,4831,0x138ad80,12,ArrayConcat
code-creation,Builtin,3,4835,0x138ada0,12,ArrayPrototypeFill
code-creation,Builtin,3,4839,0x138adc0,958,ArrayIncludesSmiOrObject
code-creation,Builtin,3,4843,0x138b180,148,ArrayIncludesPackedDoubles
code-creation,Builtin,3,4848,0x138b220,216,ArrayIncludesHoleyDoubles
code-creation,Builtin,3,4852,0x138b300,561,ArrayIncludes
code-creation,Builtin,3,4856,0x138b540,882,ArrayIndexOfSmiOrObject
code-creation,Builtin,3,4861,0x138b8c0,124,ArrayIndexOfPackedDoubles
code-creation,Builtin,3,4865,0x138b940,124,ArrayIndexOfHoleyDoubles
code-creation,Builtin,3,4869,0x138b9c0,569,ArrayIndexOf
code-creation,Builtin,3,4873,0x138bc00,12,ArrayPop
code-creation,Builtin,3,4877,0x138bc20,674,ArrayPrototypePop
code-creation,Builtin,3,4881,0x138bee0,12,ArrayPush
code-creation,Builtin,3,4885,0x138bf00,2758,ArrayPrototypePush
code-creation,Builtin,3,4889,0x138c9e0,12,ArrayShift
code-creation,Builtin,3,4893,0x138ca00,12,ArrayUnshift
code-creation,Builtin,3,4897,0x138ca20,1074,CloneFastJSArray
code-creation,Builtin,3,4901,0x138ce60,2482,CloneFastJSArrayFillingHoles
code-creation,Builtin,3,4905,0x138d820,1082,ExtractFastJSArray
code-creation,Builtin,3,4909,0x138dc60,287,ArrayPrototypeEntries
code-creation,Builtin,3,4914,0x138dd80,271,ArrayPrototypeKeys
code-creation,Builtin,3,4918,0x138dea0,287,ArrayPrototypeValues
code-creation,Builtin,3,4922,0x138dfc0,4332,ArrayIteratorPrototypeNext
code-creation,Builtin,3,4926,0x138f0c0,3968,FlattenIntoArray
code-creation,Builtin,3,4930,0x1390060,3992,FlatMapIntoArray
code-creation,Builtin,3,4934,0x1391000,508,ArrayPrototypeFlat
code-creation,Builtin,3,4938,0x1391200,556,ArrayPrototypeFlatMap
code-creation,Builtin,3,4943,0x1391440,12,ArrayBufferConstructor
code-creation,Builtin,3,4947,0x1391460,12,ArrayBufferConstructor_DoNotInitialize
code-creation,Builtin,3,4952,0x1391480,12,ArrayBufferPrototypeGetByteLength
code-creation,Builtin,3,4956,0x13914a0,12,ArrayBufferIsView
code-creation,Builtin,3,4960,0x13914c0,12,ArrayBufferPrototypeSlice
